N is 4
N is 4
omega has size 1
omega has size 2
omega has size 3
omega has size 4
theta has size 1theta has size 2theta has size 3theta has size 4theta has size 40, 12.6858, dt0
0.114, 11.1838, dt2
0.114, 10.0525, dt3
0.115, 12.2605, dt0
0.115, 13.3277, dt1
0.115, 10.8164, dt2
0.115, 10.6154, dt3
0.116, 12.6749, dt0
0.116, 13.053, dt1
0.116, 10.064, dt2
0.116, 11.2982, dt3
0.117, 12.8428, dt0
0.117, 13.0244, dt1
0.117, 10.5074, dt2
0.117, 11.5027, dt3
0.118, 12.5437, dt0
0.118, 12.9783, dt1
0.118, 10.6806, dt2
0.118, 10.8727, dt3
0.119, 12.8093, dt0
0.119, 13.2154, dt1
0.119, 11.4043, dt2
0.119, 11.4111, dt3
0.12, 12.9916, dt0
0.12, 13.3268, dt1
0.12, 10.3527, dt2
0.12, 10.6752, dt3
0.121, 12.677, dt0
0.121, 13.5149, dt1
0.121, 11.2403, dt2
0.121, 11.5627, dt3
0.122, 13.5556, dt0
0.122, 12.8461, dt1
0.122, 10.9813, dt2
0.122, 10.7611, dt3
0.123, 13.3255, dt0
0.123, 12.657, dt1
0.123, 9.62796, dt2
0.123, 10.5915, dt3
0.124, 12.885, dt0
0.124, 13.3735, dt1
0.124, 11.1296, dt2
0.124, 11.056, dt3
0.125, 12.777, dt0
0.125, 13.3277, dt1
0.125, 11.3653, dt2
0.125, 10.7586, dt3
0.126, 12.6462, dt0
0.126, 13.7621, dt1
0.126, 10.8823, dt2
0.126, 10.6909, dt3
0.127, 13.4959, dt0
0.127, 13.2705, dt1
0.127, 10.8109, dt2
0.127, 11.606, dt3
0.128, 13.8136, dt0
0.128, 13.3966, dt1
0.128, 10.1006, dt2
0.128, 11.2286, dt3
0.129, 13.1546, dt0
0.129, 13.5566, dt1
0.129, 11.3311, dt2
0.129, 10.8807, dt3
0.13, 13.0401, dt0
0.13, 13.1053, dt1
0.13, 10.8081, dt2
0.13, 11.0581, dt3
0.131, 12.6278, dt0
0.131, 13.3401, dt1
0.131, 11.3404, dt2
0.131, 10.6864, dt3
0.132, 13.5915, dt0
0.132, 12.8403, dt1
0.132, 11.6611, dt2
0.132, 10.6873, dt3
0.133, 11.9518, dt0
0.133, 13.1295, dt1
0.133, 10.9759, dt2
0.133, 11.4098, dt3
0.134, 12.6477, dt0
0.134, 14.4059, dt1
0.134, 10.3497, dt2
0.134, 12.1515, dt3
0.135, 12.1148, dt0
0.135, 14.0789, dt1
0.135, 11.1083, dt2
0.135, 10.9096, dt3
0.136, 12.7308, dt0
0.136, 12.8679, dt1
0.136, 11.3691, dt2
0.136, 11.061, dt3
0.137, 13.3256, dt0
0.137, 13.9064, dt1
0.137, 10.6204, dt2
0.137, 10.8491, dt3
0.138, 12.5907, dt0
0.138, 13.0062, dt1
0.138, 10.677, dt2
0.138, 11.3154, dt3
0.139, 13.3465, dt0
0.139, 13.2691, dt1
0.139, 10.1706, dt2
0.139, 10.9808, dt3
0.14, 13.3974, dt0
0.14, 14.0047, dt1
0.14, 10.9163, dt2
0.14, 10.576, dt3
0.141, 11.9064, dt0
0.141, 13.8554, dt1
0.141, 11.6781, dt2
0.141, 11.6362, dt3
0.142, 13.1428, dt0
0.142, 13.2454, dt1
0.142, 10.7361, dt2
0.142, 10.812, dt3
0.143, 12.3682, dt0
0.143, 13.1816, dt1
0.143, 10.6703, dt2
0.143, 10.9835, dt3
0.144, 12.0686, dt0
0.144, 13.4113, dt1
0.144, 10.963, dt2
0.144, 11.2302, dt3
0.145, 13.0733, dt0
0.145, 14.5045, dt1
0.145, 11.6404, dt2
0.145, 10.6587, dt3
0.146, 13.171, dt0
0.146, 13.2883, dt1
0.146, 10.0405, dt2
0.146, 10.7046, dt3
0.147, 13.9404, dt0
0.147, 13.5654, dt1
0.147, 10.5279, dt2
0.147, 10.4173, dt3
0.148, 12.4951, dt0
0.148, 12.9149, dt1
0.148, 11.0838, dt2
0.148, 11.0674, dt3
0.149, 12.9375, dt0
0.149, 12.859, dt1
0.149, 11.2894, dt2
0.149, 10.5963, dt3
0.15, 12.5028, dt0
0.15, 13.065, dt1
0.15, 10.6794, dt2
0.15, 11.3908, dt3
0.151, 12.8495, dt0
0.151, 12.6572, dt1
0.151, 10.4861, dt2
0.151, 10.4861, dt3
0.152, 12.4357, dt0
0.152, 13.3492, dt1
0.152, 11.3334, dt2
0.152, 10.6375, dt3
0.153, 13.1298, dt0
0.153, 13.1189, dt1
0.153, 10.4743, dt2
0.153, 11.825, dt3
0.154, 12.3474, dt0
0.154, 14.2123, dt1
0.154, 10.7154, dt2
0.154, 11.48, dt3
0.155, 12.9119, dt0
0.155, 13.776, dt1
0.155, 10.9897, dt2
0.155, 11.9077, dt3
0.156, 12.9583, dt0
0.156, 13.6421, dt1
0.156, 10.6325, dt2
0.156, 10.4595, dt3
0.157, 12.5047, dt0
0.157, 12.5583, dt1
0.157, 11.2954, dt2
0.157, 10.3772, dt3
0.158, 13.2232, dt0
0.158, 13.6373, dt1
0.158, 11.286, dt2
0.158, 10.8919, dt3
0.159, 12.3898, dt0
0.159, 13.2796, dt1
0.159, 10.1229, dt2
0.159, 10.9702, dt3
0.16, 12.2669, dt0
0.16, 13.9795, dt1
0.16, 10.8585, dt2
0.16, 10.826, dt3
0.161, 12.7557, dt0
0.161, 12.3771, dt1
0.161, 11.2844, dt2
0.161, 10.9566, dt3
0.162, 12.1025, dt0
0.162, 13.4361, dt1
0.162, 10.4214, dt2
0.162, 11.2165, dt3
0.163, 12.7404, dt0
0.163, 13.1648, dt1
0.163, 10.9525, dt2
0.163, 11.1475, dt3
0.164, 13.6665, dt0
0.164, 13.3877, dt1
0.164, 11.4721, dt2
0.164, 11.5151, dt3
0.165, 13.2192, dt0
0.165, 13.6677, dt1
0.165, 11.8231, dt2
0.165, 11.441, dt3
0.166, 13.4005, dt0
0.166, 13.0624, dt1
0.166, 11.011, dt2
0.166, 11.0654, dt3
0.167, 13.4498, dt0
0.167, 12.6667, dt1
0.167, 10.5377, dt2
0.167, 10.9629, dt3
0.168, 12.2422, dt0
0.168, 12.7738, dt1
0.168, 10.9628, dt2
0.168, 10.3379, dt3
0.169, 13.0375, dt0
0.169, 13.3618, dt1
0.169, 10.8109, dt2
0.169, 11.3926, dt3
0.17, 12.8672, dt0
0.17, 13.2755, dt1
0.17, 10.9779, dt2
0.17, 10.0216, dt3
0.171, 13.1252, dt0
0.171, 13.5171, dt1
0.171, 11.1468, dt2
0.171, 11.2922, dt3
0.172, 12.293, dt0
0.172, 13.3606, dt1
0.172, 11.2427, dt2
0.172, 10.4994, dt3
0.173, 12.7258, dt0
0.173, 13.4133, dt1
0.173, 10.5106, dt2
0.173, 11.4031, dt3
0.174, 12.9438, dt0
0.174, 13.1474, dt1
0.174, 10.6673, dt2
0.174, 11.0027, dt3
0.175, 12.3281, dt0
0.175, 12.7098, dt1
0.175, 10.1165, dt2
0.175, 11.0922, dt3
0.176, 12.5502, dt0
0.176, 12.8823, dt1
0.176, 10.8292, dt2
0.176, 11.6695, dt3
0.177, 12.7549, dt0
0.177, 12.8157, dt1
0.177, 10.307, dt2
0.177, 11.4491, dt3
0.178, 13.3416, dt0
0.178, 13.2637, dt1
0.178, 10.214, dt2
0.178, 10.6983, dt3
0.179, 12.4037, dt0
0.179, 13.0054, dt1
0.179, 10.5905, dt2
0.179, 11.2484, dt3
0.18, 12.3948, dt0
0.18, 13.4231, dt1
0.18, 10.9609, dt2
0.18, 11.3178, dt3
